category_id,category_name,subcategory_id,subcategory_name,product_id,product_code,product_name,product_second_name,product_type,line_count,invoice_count,customer_count,net_qty,net_sales_ex_vat,net_vat_allocated_from_invoice,net_sales_inc_vat_allocated,completed_qty,completed_sales_ex_vat,completed_sales_inc_vat_allocated,returned_qty,returned_sales_ex_vat,returned_sales_inc_vat_allocated,first_sale_date,last_sale_date
2,"Airless Sprayer",,,1059,32878401,"สายดูดสี Connector newmodel Full set for RB360",,standard,2,2,2,2.0000,2568.22,179.78,2748.00,2.0000,2568.22,2748.00,0.0000,0.00,0.00,2026-05-13,2026-05-30
1,"Missing category 1",,,722,25937212,"กระดาษทราย-เกรียงขัดกระดาษเข้ามุม ความยาว 50 cm  เบอร์ 320",,standard,1,1,1,100.0000,2500.00,175.00,2675.00,100.0000,2500.00,2675.00,0.0000,0.00,0.00,2026-05-30,2026-05-30
48,"Power Tools",,,807,67876762,เครื่องสั่นกระเบื้อง(สีดำ),,standard,1,1,1,1.0000,2500.00,175.00,2675.00,1.0000,2500.00,2675.00,0.0000,0.00,0.00,2026-05-26,2026-05-26
1,"Missing category 1",,,31,09766295,"แผ่นพลาสติก-Plastic smoothing disk ",,standard,2,2,2,6.0000,2400.00,168.00,2568.00,6.0000,2400.00,2568.00,0.0000,0.00,0.00,2026-05-08,2026-05-29
48,"Power Tools",,,1069,32344380,"ชุดประกับใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410","Spare wheel set, electric saw blade 410 mm.",standard,2,2,2,4.0000,2321.40,162.50,2483.90,4.0000,2321.40,2483.90,0.0000,0.00,0.00,2026-05-09,2026-05-25
1,"Missing category 1",,,114,46019257,"Polishing diskเพจรองเครื่องขัดผนัง รุ่นRB-DWS225B",,standard,2,2,2,3.0000,2318.32,162.28,2480.60,3.0000,2318.32,2480.60,0.0000,0.00,0.00,2026-05-05,2026-05-13
1,"Missing category 1",,,717,59782546,"ปืนยิงกาวซีเมนต์ -Grouting Mortar Sprayer  หัว 4 ขนาด 15mm,25mm,42mm,60mm รุ่น ML-GM-4P",,standard,3,3,3,6.0000,1980.00,138.60,2118.60,6.0000,1980.00,2118.60,0.0000,0.00,0.00,2026-05-14,2026-05-25
5,"Paint and decorating",,,213,35618870,"เกรียงขัดกระดาษทรายเข้ามุม ขนาด 25cm.",,standard,1,1,1,5.0000,1950.00,136.50,2086.50,5.0000,1950.00,2086.50,0.0000,0.00,0.00,2026-05-09,2026-05-09
1,"Missing category 1",,,729,13461138,"กระดาษทราย-เกรียงขัดกระดาษเข้ามุม ความยาว 25 cm เบอร์ 240",,standard,1,1,1,100.0000,1900.00,133.00,2033.00,100.0000,1900.00,2033.00,0.0000,0.00,0.00,2026-05-30,2026-05-30
1,"Missing category 1",,,726,65056339,"กระดาษทราย-เกรียงขัดกระดาษเข้ามุม ความยาว 25 cm เบอร์ 320",,standard,1,1,1,100.0000,1900.00,133.00,2033.00,100.0000,1900.00,2033.00,0.0000,0.00,0.00,2026-05-30,2026-05-30
2,"Airless Sprayer",,,89,33172105,"RB-PS Pressure hose 10m.",,standard,1,1,1,1.0000,1822.43,127.57,1950.00,1.0000,1822.43,1950.00,0.0000,0.00,0.00,2026-05-04,2026-05-04
2,"Airless Sprayer",,,311,80715221,"Spray tip 635",,standard,1,1,1,3.0000,1650.00,115.50,1765.50,3.0000,1650.00,1765.50,0.0000,0.00,0.00,2026-05-30,2026-05-30
30,"Drywall sander, wall sander",,,65,91780351,"กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์240","240grits 180mm sandpaper ",standard,3,3,3,130.0000,1480.50,54.64,1535.14,130.0000,1480.50,1535.14,0.0000,0.00,0.00,2026-05-08,2026-05-20
30,"Drywall sander, wall sander",,,68,90434505,"กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์120","225mm Sandpaper no.120",standard,3,2,2,100.0000,1407.48,98.52,1506.00,100.0000,1407.48,1506.00,0.0000,0.00,0.00,2026-05-04,2026-05-25
2,"Airless Sprayer",,,245,11653104,"No.17 Inlet valve assembly-RB899",,standard,1,1,1,1.0000,1401.87,98.13,1500.00,1.0000,1401.87,1500.00,0.0000,0.00,0.00,2026-05-25,2026-05-25
2,"Airless Sprayer",,,151,42914914,"No.29 Valve assembly -วาวล์ไล่อากาศ RB899","No.29 Valve assembly DF330",standard,1,1,1,1.0000,1401.87,98.13,1500.00,1.0000,1401.87,1500.00,0.0000,0.00,0.00,2026-05-25,2026-05-25
2,"Airless Sprayer",,,468,41779949,"No.85 Pressure Valve RB899 วาล์วปรับแรงดัน",,standard,1,1,1,1.0000,1401.87,98.13,1500.00,1.0000,1401.87,1500.00,0.0000,0.00,0.00,2026-05-25,2026-05-25
38,"WALL CHASERS",,,1162,70144469,"ชุดฝาครอบ cover Spare parts เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410"," cover Spare parts , electric saw blade 410 mm.",standard,1,1,1,1.0000,1401.87,98.13,1500.00,1.0000,1401.87,1500.00,0.0000,0.00,0.00,2026-05-09,2026-05-09
38,"WALL CHASERS",,,84,40374383,"ใบตัด-Blade WALL-RB100A ขนาด 25mm.","BALDE 25MM  WALL-RB100A",standard,1,1,1,1.0000,1401.87,98.13,1500.00,1.0000,1401.87,1500.00,0.0000,0.00,0.00,2026-05-06,2026-05-06
30,"Drywall sander, wall sander",,,71,39331098,"กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์240","225mm Sandpaper no.240",standard,2,2,2,100.0000,1400.00,98.00,1498.00,100.0000,1400.00,1498.00,0.0000,0.00,0.00,2026-05-05,2026-05-09
5,"Paint and decorating",,,42,14594210,"เครื่องพ่นปูนมือถือ-cement spray gun รุ่น RB-CM18","cement spray gun",standard,1,1,1,1.0000,1490.00,0.00,1490.00,1.0000,1490.00,1490.00,0.0000,0.00,0.00,2026-05-30,2026-05-30
2,"Airless Sprayer",,,1187,80566141,"สายดูดสี  Suction Hose Full set RB-295"," Suction Hose Full set for RB-295 ",standard,1,1,1,1.0000,1308.41,91.59,1400.00,1.0000,1308.41,1400.00,0.0000,0.00,0.00,2026-05-30,2026-05-30
2,"Airless Sprayer",,,318,47667231,"No.110 Suction Hose Full set-RB899",,standard,1,1,1,1.0000,1121.49,78.50,1199.99,1.0000,1121.49,1199.99,0.0000,0.00,0.00,2026-05-25,2026-05-25
5,"Paint and decorating",,,62,51984083,"กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์120","180mm sandpaper No.120",standard,3,2,2,100.0000,1107.48,77.52,1185.00,100.0000,1107.48,1185.00,0.0000,0.00,0.00,2026-05-08,2026-05-28
30,"Drywall sander, wall sander",,,70,53749536,"กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์180","225mm Sandpaper no.180",standard,1,1,1,50.0000,1050.00,73.50,1123.50,50.0000,1050.00,1123.50,0.0000,0.00,0.00,2026-05-20,2026-05-20
2,"Airless Sprayer",,,276,32770008,"Spray tip 521",,standard,5,5,4,6.0000,1028.04,71.96,1100.00,6.0000,1028.04,1100.00,0.0000,0.00,0.00,2026-05-25,2026-05-28
2,"Airless Sprayer",,,308,16372974,"Spray tip 621",,standard,4,4,3,5.0000,1028.04,71.96,1100.00,5.0000,1028.04,1100.00,0.0000,0.00,0.00,2026-05-05,2026-05-29
30,"Drywall sander, wall sander",,,1140,97403986,"สายพาน spare parts รุ่น RB-225A",,standard,2,2,1,2.0000,980.00,68.60,1048.60,2.0000,980.00,1048.60,0.0000,0.00,0.00,2026-05-21,2026-05-22
2,"Airless Sprayer",,,736,69830696," กระเป๋าเครื่องมือช่าง คาดเอว 11.5x24cm. RB-1001",,standard,2,2,2,2.0000,971.96,68.04,1040.00,2.0000,971.96,1040.00,0.0000,0.00,0.00,2026-05-14,2026-05-20
5,"Paint and decorating",,,52,23179593,"ไม้ปาดปูน-2 meter scraper",,standard,1,1,1,1.0000,934.58,65.42,1000.00,1.0000,934.58,1000.00,0.0000,0.00,0.00,2026-05-15,2026-05-15
1,"Missing category 1",,,692,00481546,"เกรียงฉาบสกิมโค้ท ด้ามไม้ (ยาว28 cm. กว้าง 10 cm.) รุ่น ML-050021",,standard,1,1,1,2.0000,900.00,63.00,963.00,2.0000,900.00,963.00,0.0000,0.00,0.00,2026-05-23,2026-05-23
38,"WALL CHASERS",,,171,32257150,"ถ่าน เครื่องกรีดผนังอิฐมวลเบา รุ่น WALLCD-100A","carbon brush for WALLCD-100A",standard,1,1,1,3.0000,750.00,52.50,802.50,3.0000,750.00,802.50,0.0000,0.00,0.00,2026-05-25,2026-05-25
30,"Drywall sander, wall sander",,,63,48437366,"กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์150","150grits 180mm sandpaper ",standard,2,2,2,60.0000,793.50,6.55,800.05,60.0000,793.50,800.05,0.0000,0.00,0.00,2026-05-14,2026-05-20
38,"WALL CHASERS",,,1156,75369285,"แหวนล็อคใบตัด Brushless Ring Saw spare parts  RB-7425D","Brushless Ring Saw spare parts  RB-7425D",standard,1,1,1,1.0000,690.00,48.30,738.30,1.0000,690.00,738.30,0.0000,0.00,0.00,2026-05-25,2026-05-25
2,"Airless Sprayer",,,364,29252485,"No.108 connector for RB899",,standard,2,2,1,2.0000,654.21,45.79,700.00,2.0000,654.21,700.00,0.0000,0.00,0.00,2026-05-25,2026-05-30
2,"Airless Sprayer",,,295,82811947,"Spray tip 523",,standard,2,2,2,2.0000,616.82,43.18,660.00,2.0000,616.82,660.00,0.0000,0.00,0.00,2026-05-26,2026-05-28
2,"Airless Sprayer",,,161,32062791,"Tip seat full-Spray tip -  ซีลยาง",,standard,28,28,18,80.0000,600.00,42.00,642.00,85.0000,600.00,642.00,-5.0000,0.00,0.00,2026-05-04,2026-05-30
7,"Spare parts / Accessories Airless sprayer",,,1121,08950901,"หัวอัดจารบี เครื่องยิงโฟม - Phosset injection pump สีทอง รุ่น PU-Phosset-01",,standard,1,1,1,1.0000,600.00,42.00,642.00,1.0000,600.00,642.00,0.0000,0.00,0.00,2026-05-23,2026-05-23
2,"Airless Sprayer",,,1184,27441200,"ข้อต่อ connector ปืนพ่นสี 360 องศา (สีเขียว)","connector  360 ",standard,21,21,13,19.0000,560.75,39.25,600.00,20.0000,560.75,600.00,-1.0000,0.00,0.00,2026-05-04,2026-05-30
48,"Power Tools",,,1068,14182708,"แหวนใบตัด เครื่องเลื่อยวงแหวนไฟฟ้า รุ่น RB W-410","eletric saw for (410mm.) Blade roller for 410mm Blade",standard,1,1,1,1.0000,551.40,38.60,590.00,1.0000,551.40,590.00,0.0000,0.00,0.00,2026-05-09,2026-05-09
4,"Screw Pump",,,50,15248899,"ไม้ปาดปูน-1.20meter scraper ","scraper 1.20 m",standard,7,6,3,7.0000,550.00,38.50,588.50,7.0000,550.00,588.50,0.0000,0.00,0.00,2026-05-05,2026-05-15
2,"Airless Sprayer",,,269,76622399,"Spray tip 519",,standard,4,4,4,4.0000,550.00,38.50,588.50,4.0000,550.00,588.50,0.0000,0.00,0.00,2026-05-08,2026-05-25
